"Gene","log2FC","MYB3|ABA","MYB3|EtOH","ABF1|ABA","ABF1|EtOH","FBH3|ABA","FBH3|EtOH","NFYC2|ABA","NFYC2|EtOH","ANAC032|ABA","ANAC032|EtOH","HB6|ABA","HB6|EtOH","GBF3|ABA","GBF3|EtOH","HB7|ABA","HB7|EtOH","ABF4|ABA","ABF4|EtOH","GBF2|ABA","GBF2|EtOH","RD26|ABA","RD26|EtOH","ABF3|ABA","ABF3|EtOH","HAT22|ABA","HAT22|EtOH","ZAT6|ABA","ZAT6|EtOH","AT5G04760|ABA","AT5G04760|EtOH","DREB2A|ABA","DREB2A|EtOH","HSFA6A|ABA","HSFA6A|EtOH","NFYB2|ABA","NFYB2|EtOH","ANAC102|ABA","ANAC102|EtOH","HB5|ABA","HB5|EtOH","MYB44|ABA","MYB44|EtOH"
"AT5G04340",3.26938044883598,1.8738455993379,1.43203643466001,3.00197659629105,0,0,0,2.31239251766481,1.02565493820118,3.22966674814255,0,1.41197841581803,1.49028076875528,3.09978839704438,2.79716595431082,1.54133719532355,1.27839673931402,1.98337745224793,0.868813014087787,2.42017774166298,2.0211329290031,2.29177880253848,2.1814757241642,2.35019291050566,1.80462829484052,1.49025816613518,1.56399912946385,3.07764057002077,0,1.16878554458942,1.8670742799019,3.33440123900407,0,2.63391632888767,0,6.75535012604486,3.6244972133196,3.48589096376394,2.65727618936144,1.46707201666382,1.47162263760742,2.79520475333807,2.02091790691872
"AT5G04370",1.36741156630136,0,0,2.36739311654799,0,0,0,0,0,1.84415523680349,0,2.33937738061938,2.21625225532363,3.76161507954298,3.3773305232416,3.05612814870309,2.18418433385317,2.33525882842006,1.90015857787552,2.72624034778279,2.42254052813412,1.76597196473375,0,2.37419367768986,1.69656411583324,2.99238018585338,2.66788516053119,0,0,1.8454076644313,0,0,0,0,0,4.38795700809245,0,0,0,2.08249815789673,1.26844277272563,2.04236453352326,0
"AT5G04380",2.53105292153969,0,0,0,0,0,0,0,0,2.32873346463997,0,3.16329520337664,3.16069959466521,0,0,2.3866113793208,1.9317794153634,2.08736085453605,0,0,0,0,0,2.17928761068308,0,1.99399972282199,2.22380157078808,0,0,1.78270992924009,0,0,0,0,0,2.93274136131869,0,0,0,3.03064488928323,2.91476729057534,0,0
"AT5G04660",1.5506330318736,0,0,2.47229978354006,0,0,0,1.67641604836391,1.54541229425731,2.04401996453125,0,0,0,2.00502769917192,1.35184793299625,1.69819888583164,0,1.88116498416516,1.43075403272317,1.49110961796053,0,1.73702771528483,0,2.05479136608148,1.41989206458283,0,0,1.93006298301868,0,1.48565141036539,0,0,0,0,0,4.0956489094093,1.98288456605905,2.51759514998393,2.28398905112335,0,0,1.56480963572595,0
"AT5G04760",1.1636478886731,1.70668316540513,0.849447392530243,2.9968673967122,2.19439275913029,0,0,3.58516700114762,3.13431525292967,3.83170504836464,3.34112380093235,1.37448105868769,1.22937714027631,3.32115308797277,3.30751475506334,1.48052722071783,1.14807660476059,2.26140958644763,2.26258980599743,2.66356961441693,2.57815725198212,0,3.44279177292714,2.32628903092719,2.32868595417368,1.73479848096361,1.28297378588233,1.5890927481416,2.11306428632611,0,0,2.63867451033383,0,1.26022388647555,0,8.08114412693164,5.7587281084177,4.1868437170156,4.39568354284777,1.35790090347452,1.31251268253637,0,1.89363339420719
"AT5G04830",0.506849762993059,0,0,2.18198470369,0,0,0,2.33905888246368,2.32379494375207,2.04812669527279,0,1.63939430152262,0,2.68462537641513,2.46763094839785,2.05977526642733,0,1.86434570366144,0,2.05862712434273,0,1.62656113880046,1.84697989800608,2.09947633109656,0,2.33603737778055,2.16582655823139,2.08448991885309,1.99712917524747,1.40321239794979,0.955099744823242,0,0,1.95219181787015,0,7.6697668236336,5.79613462193585,2.40830528890514,2.32826563439456,0,0,1.50216863557617,0
"AT5G04860",-0.460825777927989,2.10310765945457,0,1.51999685001873,0,0,0,0,0,2.35553329568029,0,1.96823011878461,1.95710819310502,1.68471579661808,0,2.37174684133324,0,1.05673843820479,1.00921200615775,0,0,2.40421774978793,2.33049803770136,1.75297406124542,1.91334560661537,2.19517890642506,1.95756275950085,2.83243675547462,2.95625510621444,1.57525330620731,2.30900707862884,0,0,0,0,4.05244461249395,3.37719547730931,2.38284085916749,2.38840719765977,0,0,2.24326011488259,1.99657027249702
"AT5G04980",-0.470832410730471,0,0,0,0,0,0,0,0,2.33800627502436,0,0,0,1.88268928802858,1.0304493326143,2.09056386408276,0,0,0,0,0,2.2025506749295,1.86039465697644,0,0,1.62732641321693,0,2.33437721704985,0,0,0,0,0,0,0,0,0,2.36067745463111,0,0,1.72911746050622,1.80766247503432,0
"AT5G05220",3.69877559525638,0,0,3.00483542646537,0,0,0,2.36304106678855,0,1.4340003296656,0,1.48282612058493,0,3.8239899273324,3.17605217345117,2.06053408475251,0,2.54011120172907,1.98079325697591,2.67354030655138,2.15192935311862,1.87517166409691,1.4411347797603,2.68366791375591,0,1.39494125846138,0,2.19807253934152,1.76100526151042,1.7569952578111,1.53849678954432,2.40821538587065,0,2.0189310950567,0,6.65257746111958,3.16021154715096,0,0,0,0,1.65022084256522,1.56189768049724
"AT5G05250",-2.68858737839482,0,0,2.16372386246645,0,0,0,3.19812786300861,2.80680836940446,0,0,2.95563847316938,2.71141824874662,3.81916698261257,3.85053984290302,2.66042641015761,0,2.1792727256322,2.15906212315113,3.23382996825876,3.1521639124225,1.97107850589513,2.06697880066114,2.31853204226802,2.14219445031402,3.23100851725349,2.69430019755197,2.94842443292868,0,1.64025765507655,0,0,0,0,0,7.03115691517297,4.97098445216394,0,0,2.8860519664625,2.98438549713471,2.80807632900457,2.18093719683655
