Gene,Name,Cluster,AP1_S4,AP1_S6,AP3_S4,AP3_S6,AG_S4,AG_S6
AT3G12470,AT3G12470,Unknown,28.955,20.76,44.205,43.6,12.045,19.78
AT3G12510,AT3G12510,Unknown,19.055,16.36,37.32,27.805,15.62,18.795
AT3G12520,SULTR4;2,Unknown,3.345,4.445,2.64,4.405,7.34,5.55
AT3G12610,DRT100,AP1_AP3,62.67,71.29,36.495,44.35,14.375,21.335
AT3G12690,AGC1.5,Unknown,2.305,3.945,9.02,3.78,10.495,7.46
AT3G12730,AT3G12730,AG,2.175,2.56,1.86,1.33,4.085,4.24
AT3G12780,PGK1,Unknown,145.835,137.4,106.63,100.65,207.68,205.88
AT3G12810,SRCAP,Unknown,2.885,5.22,8.625,7.11,10.59,12.095
AT3G12830,SAUR72,AP1_AP3,11.565,8.6,13.145,19.815,5.185,3.69
AT3G12900,AT3G12900,Unknown,0,0,0,0.16,0.185,1.155
AT3G12910,AT3G12910,Unknown,1.475,1.81,0.145,0.21,0.825,1.28
AT3G12920,BRG3,AG,16.82,15.695,10.975,9.47,22.745,19.99
AT3G12930,AT3G12930,Unknown,30.23,25.575,12.32,24.44,21.245,23.11
AT3G12950,AT3G12950,Unknown,9.04,11.16,19.435,15.73,23.04,19.23
AT3G12970,AT3G12970,Unknown,19.175,13.53,43.155,20.705,17.14,14.085
AT3G12980,HAC5,Unknown,2.435,3.605,5.49,4.88,6.455,6.395
AT3G13065,SRF4,Unknown,0.065,0.33,0.925,0.93,1.3,0.91
AT3G13070,AT3G13070,Unknown,13.505,20.93,18.94,18.705,37.06,31.6
AT3G13100,MRP7,Unknown,0.07,0,0.295,0.13,0.47,0.25
AT3G13110,SERAT2;2,Unknown,29.36,22.88,21.43,16.865,36.31,37.725
AT3G13130,AT3G13130,Unknown,51.78,39.66,5.1,6.55,6.895,11.265
AT3G13330,PA200,Unknown,3.9,5.735,8.105,7.645,9.41,9.68
AT3G13430,AT3G13430,Unknown,9.075,9.58,5.59,11.07,4.03,4.355
AT3G13440,AT3G13440,Unknown,18.695,19.47,44.355,27.49,36.255,34.61
AT3G13445,TFIID-1,Unknown,21.08,15.785,13.965,19.285,6.465,9.71
AT3G13450,DIN4,Unknown,40.285,47.535,52.09,55.825,19.56,24.83
AT3G13470,Cpn60beta2,Unknown,42.47,94.6,56.66,71.42,210.62,73.565
AT3G13540,MYB5,Unknown,0,0,0,0.035,0.4,0.265
AT3G13640,RLI1,Unknown,4.015,4.22,5.845,4.02,9.18,6.67
AT3G13662,AT3G13662,Unknown,2.325,1.52,0,0.065,4.54,6.505
AT3G13670,AT3G13670,Unknown,33.365,46.15,47.85,45.37,72.015,71.755
AT3G13720,PRA8,AP1,40.875,36.05,11.75,11.885,6.9,12.71
AT3G13845,AT3G13845,Unknown,45,26.725,20.17,26.785,12.285,10.195
AT3G13980,AT3G13980,Unknown,22.715,16.085,8.47,6.945,6.885,9.73
AT3G14010,CID4,Unknown,16.765,26.525,43.04,36.455,38.155,34.36
AT3G14060,AT3G14060,AP1_AP3,91.195,62.79,41.06,41.86,6.23,9.255
AT3G14070,CCX3,Unknown,3.09,3.225,8.9,5.505,4.365,6.19
AT3G14075,AT3G14075,Unknown,5.345,5.92,13.85,9.685,10.57,11.335
AT3G14100,AT3G14100,Unknown,110.235,96.18,130.7,146.51,63.86,63.845
AT3G14120,AT3G14120,Unknown,7.8,7.835,15.175,15.45,16.5,14.025
AT3G14170,AT3G14170,Unknown,0.335,0.52,0.33,0.495,1.085,0.76
AT3G14172,AT3G14172,Unknown,4.725,7.155,8.155,7.555,10.87,11.035
AT3G14190,CMR1,AP1_AP3,83.77,59.62,54.415,78.915,23.025,26.795
AT3G14210,ESM1,Unknown,0.085,0.405,0.54,0.185,2.58,2.52
AT3G14230,RAP2.2,AP1_AP3,194.94,248.445,149.695,328.52,51.62,99.36
AT3G14270,FAB1B,Unknown,2.1,4.82,5.295,4.2,6.7,7.67
AT3G14280,AT3G14280,Unknown,3.13,1.88,0.09,0.765,0.345,0.605
AT3G14380,AT3G14380,Unknown,0.92,0,1.55,1.6,2.16,1.12
AT3G14420,GOX1,Unknown,80.535,100.115,74.26,49.095,257.97,249.97
AT3G14430,AT3G14430,AP1,95.53,104.065,49.875,46.835,27.35,27.46
AT3G14440,STO1,AP1,18.605,12.81,6.765,4.745,4.255,4.19
AT3G14450,CID9,Unknown,4.16,3.65,0.125,1.21,0.97,1.13
AT3G14452,AT3G14452,Unknown,3.37,1.625,0,0,0,0
AT3G14530,AT3G14530,Unknown,0,0,0.14,0.025,0.185,0.185
AT3G14560,AT3G14560,AP1,11.36,13.24,2.055,2.07,1.625,1.5
AT3G14570,GSL04,Unknown,0.635,1.13,2.085,1.255,2.27,2.155
AT3G14590,NTMC2TYPE6.2,Unknown,2.415,5.135,3.155,3.58,1.64,1.18
AT3G14600,AT3G14600,Unknown,205.045,106.155,194.28,296.96,185.67,169.445
AT3G14660,CYP72A13,Unknown,10.74,11.07,15.58,8.815,33.28,26.23
AT3G14690,CYP72A15,AG,11.775,14.165,15.32,11.47,26.49,26.315
AT3G14730,AT3G14730,Unknown,2.38,3.145,2.565,1.865,3.915,3.835
AT3G14760,AT3G14760,Unknown,1.255,0.645,0,0.55,1.535,1.3
AT3G14780,AT3G14780,Unknown,2.005,1.715,0.47,0.225,1.235,1.785
AT3G14840,AT3G14840,Unknown,15.345,24.08,49.955,48.875,40.445,44.38
AT3G14870,AT3G14870,Unknown,17.135,16.92,21.105,27.43,15.18,12.5
AT3G14900,EMB3120,Unknown,5.915,10.21,6.59,8.38,19.165,14.185
AT3G14981,AT3G14981,Unknown,121.545,851.91,496.035,612.105,1797.99,1939.245
AT3G15010,AT3G15010,Unknown,29.035,35.24,49.5,40.24,61.03,52.585
AT3G15030,TCP4,Unknown,5.245,6.375,5.135,6.135,17.485,11.41
AT3G15060,RABA1g,Unknown,3.965,5.08,7.555,6.56,11.115,7.91
AT3G15070,AT3G15070,Unknown,10.165,14.86,13.56,19.05,7.22,8.175
AT3G15120,AT3G15120,Unknown,2.945,4.41,5.965,6.185,6.89,7.805
AT3G15150,MMS21,Unknown,19.57,14.2,11.085,14.435,8.985,7.43
AT3G15170,CUC1,AP3,54.235,40.93,206.64,142.225,77.55,73.38
AT3G15270,SPL5,AP1,230.74,333.76,137.595,166.11,78.15,85.29
AT3G15280,AT3G15280,AP1,2.185,2.4,0.74,1.1,0.55,1.23
AT3G15351,AT3G15351,Unknown,32.665,25.53,25.83,33.505,10.475,11.375
AT3G15358,AT3G15358,Unknown,3.445,2.025,2.29,3.055,0.76,0.55
AT3G15400,ATA20,Unknown,4.48,2.075,8.58,4.175,7.17,6.475
AT3G15420,AT3G15420,Unknown,8.135,3.89,2.585,5.125,1.445,1.48
AT3G15440,AT3G15440,AP1_AP3,1.635,0.95,0.48,1.585,0.075,0
AT3G15450,AT3G15450,AP1_AP3,1469.29,1445.46,1030.3,2449.59,99.11,175.655
