"Gene","Module","CSE.1","CSE.2","CSE.3","CZ.1","CZ.2","CZ.3","ESR.1","ESR.2","ESR.3","BETL.1","BETL.2","BETL.3","AL.1","AL.2","AL.3","EMB.1","EMB.2","EMB.3","NU","PC","PE","PED"
"GRMZM2G054481","M5",1.34877,2.22114,3.47073,4.42228,5.85536,6.64564,3.149,3.75717,7.45479,1.50841,3.00033,4.39534,4.24647,2.38159,1.49605,12.9703,5.3365,6.0981,71.7514,14.0422,75.0574,50.4511
"GRMZM2G054632","M18",0,0,0,0,0,0,0,0,0,36.8159,34.8799,54.0969,0,0,0,0,0,0,0,7.59535,0,0
"GRMZM2G054658","M18",0,0,0,13.9188,33.9247,24.5431,1.71972,6.38083,3.91827,187.489,202.257,217.324,0,1.47441,0,0,0,0,0,14.8727,0,0
"GRMZM2G054663","M16",0,0,0,6.12805,4.94856,3.01309,0.504595,0.141947,0.789883,0.567971,0.375474,0.51621,0,0.153117,0,1.27759,0.271461,0.618247,1.06496,8.26095,6.28867,8.40832
"GRMZM2G054795","M8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.88328,0,316.03,328.385,313.98,1.55493,0,0.93391,0.954024
"GRMZM2G054803","M4",0,0,0,0.425674,2.2e-06,0.463332,0.804606,0,5.25e-05,0,0,0,0,4.81e-06,1.29e-05,1.09647,0,0,12.4024,2.94241,2.11821,8.00051
"GRMZM2G054805","M8",0,0,0,0.382576,0,0,1.76416,0.226894,1.07597,0,0,1.40159,0,0.484756,0,5.03367,12.8854,11.7711,0,0,0.567087,0.544453
"GRMZM2G054820","M6",3.59235,1.12e-05,0.432781,0,0,0,0,2.86e-06,0,0,0,0,0,0,2.47e-05,0.8636,0,0,0,0,13.1418,0
"GRMZM2G054870","M4",0.246889,0.438764,0.314065,0,0,0,0.983163,2.66676,2.43551,0,0,0,0,0.332118,0.497041,1.63746,1.34942,0.624543,34.0201,1.02073,2.16086,28.7481
"GRMZM2G054872","M4",0.498969,0,0.135324,0,0.534897,0.458571,1.47058,0.174842,0.304205,0.727498,0.234822,0,0,0,0,0.265924,0,1.18702,5.24548,2.64205,0.400717,0
"GRMZM2G054896","M6",0,0,0,0,0,0,0,0,2.55587,1.68667,0,2.19289,0,3.42139,3.21206,0,2.36905,0,0,0,5.35342,0
"GRMZM2G054905","M3",2.3968,2.75718,1.89587,3.13753,3.26504,2.43605,3.28955,2.49779,2.5121,4.7232,5.10306,3.78238,3.05007,1.73546,1.94122,4.07803,2.44911,3.172,3.73425,4.82362,2.23188,30.4122
"GRMZM2G054938","M5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03643,7.72198
"GRMZM2G055025","M12",11.4718,9.23361,10.8441,3.46107,5.63788,6.67616,3.42997,2.49615,5.31812,2.3819,1.04245,2.14564,25.0999,21.3027,19.3573,8.36398,8.59591,10.2803,0.604394,0.844999,5.43195,2.49372
"GRMZM2G055037","M4",0,0,0,0,0,0,1.68121,0,0,2.8566,2.28201,1.79853,0,0,0,0,4.44456,6.55437,21.4043,4.4141,1.15323,16.2917
"GRMZM2G055052","M12",0,0,0,0,0,0,0.400869,0.608718,1.22478,0,0,0,6.26849,5.07076,13.8789,1.19538,1.44224,0.83606,0,0,0,0
"GRMZM2G055089","M8",2.09236,5.90404,3.41731,4.80383,1.14495,3.40034,5.25918,3.26235,7.85531,3.52952,3.58627,4.92923,5.41097,7.44452,7.74662,42.569,41.6392,35.6252,3.8739,0.110665,12.7149,10.0433
"GRMZM2G055107","M16",0,0.779394,1.37594,0,0.445484,0.164968,0.905605,1.5208,1.10438,0.277672,0,0.813089,1.81389,3.28585,2.05348,2.17193,1.81789,1.25503,3.54761,7.14664,0.951665,8.75927
"GRMZM2G055135","M6",0,0,0,0,0,0,5.26443,3.72939,2.34416,0,0,0,3.09187,1.26347,0.334187,12.0299,5.43871,1.91194,0,0,15.3919,0
