Cluster	AG	AP1	AP2	AP3	BLR	PI	SEP3	LFY	JAG	ETT	RGA
AG	8.2591	7.47634	8.54006	9.08827	4.8262	8.8348	4.93112	1.83298	5.91728	2.17196	2.25614
AG	8.2591	7.47634	8.54006	9.08827	4.8262	8.8348	4.93112	1.83298	5.91728	2.17196	2.25614
AG	0.826792	3.30978	1.27026	0.726929	2.66574	0.812549	2.58192	0.72013	8.86037	0.919376	3.83181
AG	1.56729	0.985891	0.634553	1.28727	0.706549	1.32809	1.13228	7.52363	1.59173	0.480182	0.365013
AG	2.40517	1.82806	1.80499	4.28449	1.25092	6.07049	4.36239	0.99232	2.20814	1.00277	3.36103
AG	1.39134	1.75572	3.89758	1.42559	1.58801	1.63064	2.27552	2.19797	3.71149	2.65821	10.7447
AG	0.573154	1.89316	1.27026	0.480233	3.20802	0.747435	1.48552	1.83298	1.04146	1.38607	0.988057
AG	0.826313	0.587972	1.80499	1.41144	3.59194	1.19044	0.570861	0.780701	1.16646	1.03769	0.735903
AG	1.53987	1.12753	0.97733	1.74133	2.27068	1.24029	0.875983	0	1.02457	5.41778	1.63627
AG	0.899162	3.0268	0.870886	1.16248	0.926336	0.719745	1.80095	0	1.4645	2.90528	0.561902
AG	7.05602	4.17028	1.04099	3.52115	2.73332	10.3268	3.41049	1.39601	6.82224	1.72619	1.04457
AG	5.68888	3.50408	2.82585	7.72988	0.541844	6.49045	6.93286	1.34526	1.10443	0.499211	2.45022
AG	0.855396	2.20052	4.91074	1.12671	0.317651	0.584142	1.97025	3.85918	1.50523	0.772654	2.09326
AG	1.86143	0.859529	0.954564	2.26298	0.812291	3.32604	2.53361	1.29457	1.22677	0.988549	1.27311
AG	0.78662	0.710946	1.11748	0.51278	1.62925	0.521878	1.08158	0	1.5814	5.43059	1.80932
AG	2.60616	1.36164	1.16417	2.28536	0.615824	1.34943	1.17365	0.826494	2.25703	4.24306	0.72598
AG	0.794256	0.887316	0.791652	1.00341	1.34558	0.775078	0.991222	2.61312	2.74579	2.05962	1.76056
AG	3.88411	0.69826	1.11748	12.2556	1.26961	14.9497	0.866822	1.49211	1.82679	1.30871	1.28529
AG	3.35417	1.89316	2.37145	4.69679	2.03326	3.56702	3.32385	1.79985	0.820739	1.77279	1.38675
AG	1.27794	2.31877	1.80499	1.49337	2.96009	2.13988	2.30657	0.934369	1.12622	2.15869	1.20278
AG	2.19353	0.88312	1.65415	2.87153	2.19049	3.4863	0.842564	0	2.74876	1.39847	1.27553
AG	5.56336	9.19576	6.49337	2.60459	1.71341	4.68018	5.95369	1.66224	4.26249	2.01895	2.39647
AG	4.09823	3.62186	2.08579	2.91511	0.925932	3.22372	4.4623	0	1.41111	2.13804	3.20301
AG	1.39805	3.0268	1.16417	2.53335	1.0231	3.54324	2.19637	0	0.717938	0.901675	0.74799
AG	5.64201	1.09603	1.27026	4.2116	0.914424	4.42262	3.16273	0	2.46829	1.44665	1.79127
AG	0.848422	0.782969	0.552758	2.40702	3.46331	1.97784	0.508871	0	0.813046	0.440664	0.876395
AG	1.12543	3.41752	3.66288	1.04171	1.12291	1.13094	2.15862	1.21684	2.37711	4.16712	2.03387
