Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-646	BIG	Persimmon_Orange		S. lycopersicum				42,807,098 	4.7161	87.88%	98.162%
TS-647	BIG	Red_Alert		S. lycopersicum				51,490,678 	6.46	88.06%	98.364%
TS-648	BIG	Red_Brandywine		S. lycopersicum				52,603,288 	6.4291	88.14%	98.453%
TS-649	BIG	Wins_All		S. lycopersicum				43,451,764 	4.8655	88.01%	98.308%
TS-650	BIG	Bear_Creek		S. lycopersicum				38,770,886 	5.0464	88.27%	98.598%
TS-651	CER	Isis_Candy		S. lycopersicum var cerasiforme				34,210,078 	4.5731	86.59%	96.722%
TS-652	CER	Jelly_Bean_Hybrid	F1	S. lycopersicum var cerasiforme				42,729,860 	5.5334	86.94%	97.112%
TS-653	BIG	Jetsonic_Hybrid	F1	S. lycopersicum				44,107,540 	3.711	86.20%	96.286%
TS-654	BIG	Marcellino_Hybrid	F1	S. lycopersicum				43,152,338 	4.8292	87.21%	97.414%
TS-655	BIG	Mortgage_Lifter		S. lycopersicum				43,166,756 	5.0021	88.20%	98.520%
TS-656	BIG	Parks_Whopper	F1	S. lycopersicum				47,844,066 	6.1914	88.54%	98.900%
TS-657	CER	SuperSweet_100_Hybrid	F1	S. lycopersicum var cerasiforme				43,144,238 	5.1469	88.05%	98.352%
TS-658	CER	Yellow_Jelly_Bean		S. lycopersicum var cerasiforme				42,680,558 	5.4577	87.97%	98.263%
TS-659	BIG	Oaxacan_Pink		S. lycopersicum				44,441,788 	5.6377	88.54%	98.900%
TS-660	BIG	Moneymaker		S. lycopersicum	LA2706	PI262996	EA00840/EA02936/EA05097/EA10006	313,805,678 	31.4252	89.12%	99.548%
TS-661	BIG	Alisa Craig		S. lycopersicum	LA2838A		EA01101/EA00240/EA01101	276,633,430 	27.2706	89.10%	99.525%
TS-662	BIG	Gardeners delight		S. lycopersicum		PI406760	EA06086	304,014,688 	29.9013	88.46%	98.810%
TS-663	BIG	Rutgers		S. lycopersicum	LA1090		EA00465	318,388,164 	31.6589	89.09%	99.514%
TS-664	BIG	Galina		S. lycopersicum			EA00325	305,982,236 	30.2429	88.78%	99.168%
TS-665	BIG	Taxi		S. lycopersicum			EA00488	296,554,582 	29.6998	89.00%	99.414%
TS-666	BIG	Katinka Cherry		S. lycopersicum			EA00375	313,741,156 	29.4186	86.71%	96.856%
TS-667	BIG	John's big orange		S. lycopersicum			EA00371	319,007,288 	31.3307	89.17%	99.603%
TS-668	BIG	Allround		S. lycopersicum	LA2463		LYC1365/EA02617	341,786,386 	33.7431	89.07%	99.492%
TS-669	BIG	Sonata		S. lycopersicum			LYC1969/EA02724	325,460,518 	30.9891	87.49%	97.727%
TS-670	BIG	Cross Country		S. lycopersicum			LYC3897/EA03701	339,532,120 	33.4756	89.14%	99.570%
TS-671	BIG	Iidi		S. lycopersicum			LYC3476/EA03362	293,881,272 	29.2957	88.98%	99.391%
TS-672	BIG	Momatero		S. lycopersicum			TR00003	332,544,770 	31.5537	87.40%	97.626%
TS-673	BIG	Rote Beere		S. lycopersicum			LYC11/EA01965/CGN15464	356,296,734 	33.8008	88.47%	98.821%
TS-674	BIG			S. lycopersicum			LYC3340/EA03306/T1039	362,802,120 	34.0092	87.22%	97.425%
TS-675	BIG	Dana		S. lycopersicum			EA01155	320,123,130 	31.1436	88.65%	99.023%
TS-676	BIG	Large Pink		S. lycopersicum			EA01049	351,717,262 	34.2186	89.01%	99.425%
TS-677	BIG			S. lycopersicum			LYC3153/EA03221	340,643,260 	33.2685	89.02%	99.436%
TS-678	BIG			S. lycopersicum			LYC3155/LYC2513/EA03222/T828	352,215,926 	34.8125	89.29%	99.737%
TS-679	BIG			S. lycopersicum		PI129097	EA04710	322,181,852 	31.451	88.49%	98.844%
TS-680	BIG			S. lycopersicum		PI272654	EA05170	349,082,376 	33.7937	88.55%	98.911%
TS-681	BIG	Jersey devil		S. lycopersicum	LA0118		EA00990	308,165,130 	30.3823	89.03%	99.447%
TS-682	WILD	S. corneliomulleri		S. corneliomuelleri			EA03384/T1248	325,156,754 	21.8753	78.30%	87.462%
TS-683	BIG	Polish Joe		S. lycopersicum			EA00157	341,475,492 	33.0363	88.88%	99.279%
