plant,group,day,fw_biomass,dw_biomass,height_above_bound,sv_area,tv_area,extent_x,extent_y,height_width_ratio,tiller_count
Dr3AB000436,R98,11.57939815,0,0,5.693344721,5816.07895,3214.545384,3.713050905,5.693344721,1.533333333,1.891914769
Dp1AC000044,A10,11.58024306,0,0,1.75338515,809.3317103,684.4421249,0.505387484,1.75338515,3.469387755,-2.38805821
Dr1AD000164,R20,11.58108796,0.090880105,0,6.456582962,9622.125372,5507.576261,5.383923812,6.456582962,1.199233716,2.654785651
Dr8AE000983,R187,11.58193287,0,0,2.217516513,3567.068022,3182.052308,4.022471814,2.217516513,0.551282051,4.023371772
Dp2AA01102,B100,11.58277778,0,0,2.506309361,3610.271105,3361.127273,3.867761359,2.506309361,0.648,3.811981999
Dr5AA000606,R128,11.58363426,0,0,2.970440724,3091.471054,3018.407016,2.062806058,2.970440724,1.44,2.073758575
Dr5AB000626,R128,11.58446759,0,0,3.341745814,3858.144257,4397.184409,3.217977451,3.341745814,1.038461538,2.959183468
Dr1AC000249,R20,11.5853125,0,0,4.96104857,4727.833217,3619.438146,2.609449664,4.96104857,1.901185771,1.077584626
Dr5AD000671,R128,11.58616898,0,0,2.12469024,2547.257424,3631.691121,2.217516513,2.12469024,0.958139535,3.124212102
Dr5AE000687,R128,11.58701389,0,0,2.640391755,2425.272248,1978.08403,1.289253786,2.640391755,2.048,0.737152992
Dp1AA000020,A10,11.5878588,0,0,3.104523118,2773.801323,1494.681463,2.145318301,3.104523118,1.447115385,2.055558251
Dr4AA000518,R102,11.5887037,0,0,2.588821603,3185.773582,3005.790989,2.217516513,2.588821603,1.16744186,2.671253753
Dr6AB000723,R133,11.58954861,0,0,3.403629996,2268.615689,2033.177038,1.299567817,3.403629996,2.619047619,-0.514345591
Dr6AC000753,R133,11.59039352,0,0,4.816652146,5590.714967,3437.821823,3.52739836,4.816652146,1.365497076,2.257501393
Dr2AD000371,R70,11.59123843,0,0,2.4856813,3026.666429,2893.245142,2.547565482,2.4856813,0.975708502,3.089705725
Dr7AE000897,R161,11.59208333,0,0,1.78432724,2238.93626,2425.544536,2.918870572,1.78432724,0.61130742,3.880992891
Dp2AA000112,B100,11.59292824,0,0,2.258772634,2215.156412,3382.910341,1.691500968,2.258772634,1.335365854,2.295601792
Dr5AA000611,R128,11.59377315,0,0,1.990607846,3486.470673,3373.561774,2.526937421,1.990607846,0.787755102,3.5049915
Dr4AB000532,R102,11.59461806,0,0,2.887928482,3096.553769,3015.048793,2.165946361,2.887928482,1.333333333,2.30732788
Dr2AC000342,R70,11.59546296,0,0,3.764621056,4635.345944,3905.159378,3.011696845,3.764621056,1.25,2.502474404
Dp2AD000167,B100,11.59630787,0,0,2.578507573,3420.304606,3347.694382,3.290175663,2.578507573,0.78369906,3.513325245
Dp2AE000191,B100,11.59715278,0,0,1.598674695,1740.557834,2949.518066,1.474906332,1.598674695,1.083916084,2.842187534
Dr1AA000202,R20,11.59884259,0,0,6.03370772,5914.01199,3599.288809,4.084355995,6.03370772,1.477272727,2.015457784
Dr5AB000627,R128,11.5996875,0,0,3.393315966,4504.829066,4173.635681,3.331431784,3.393315966,1.018575851,3.008058195
Dr1AC000248,R20,11.60053241,0.02679746,0,6.01307966,7915.422054,4588.330824,5.053874843,6.01307966,1.189795918,2.661358549
Dr1AB000222,R20,11.60306713,0.170117797,0.002760276,7.261077325,11732.45077,6232.589348,5.703658751,7.261077325,1.273056058,2.510586505
Dr7AC000841,R161,11.60391204,0,0,2.650705785,4733.097458,3783.264964,3.836819268,2.650705785,0.690860215,3.727416658
Dr5AD000666,R128,11.60475694,0,0,2.413483088,2509.59087,3705.027447,2.011235907,2.413483088,1.2,2.594391472
Dr3AE000490,R98,11.60560185,0,0,4.692883783,4641.517813,3634.59553,2.960126694,4.692883783,1.585365854,1.768302564
Dr6AA000702,R133,11.60729167,0,0,5.249841418,4920.522599,3138.03236,2.609449664,5.249841418,2.011857708,0.836879188
Dr8AB000922,R187,11.608125,0,0,3.156093269,3883.830124,3555.541149,3.207663421,3.156093269,0.98392283,3.078798139
Dr8AC000946,R187,11.60896991,0,0,4.012157783,5621.211261,4606.574142,3.630538663,4.012157783,1.105113636,2.827815528
Dr6AD000779,R133,11.60981481,0,0,4.001843753,3027.574057,2110.234638,2.392855028,4.001843753,1.672413793,1.56440318
Dp1AE000083,A10,11.61065972,0,0,3.331431784,2899.326248,2388.513322,2.630077724,3.331431784,1.266666667,2.451654287
Dp1AA01021,A10,11.61150463,0,0,3.486142239,2417.103597,1082.164627,0.773552272,3.486142239,4.506666667,-4.645719763
Dr6AA000708,R133,11.61234954,0,0,1.093287211,1302.718183,2188.925968,1.578046635,1.093287211,0.692810458,3.694827936
Dp2AB000138,B100,11.61318287,0,0,2.403169058,3735.342216,3575.236672,3.352059845,2.403169058,0.716923077,3.662119913
Dr7AC000856,R161,11.61402778,0,0,2.372226967,2823.539327,3741.604848,2.269086664,2.372226967,1.045454545,2.935332509
Dr3AD000461,R98,11.61487269,0,0,6.178104145,5788.759353,3087.11444,3.743992996,6.178104145,1.650137741,1.635967143
Dr6AE000781,R133,11.61571759,0,0,5.136387085,5569.748765,3726.175175,3.207663421,5.136387085,1.601286174,1.741110789
Dp2AA000114,B100,11.6165625,0,0,2.671333845,2602.531957,3335.259881,2.011235907,2.671333845,1.328205128,2.314476828
Dr2AA000314,R70,11.61744213,0,0,3.424258057,3872.121726,3559.897762,3.18703536,3.424258057,1.074433657,2.88054442
Dr1AB000237,R20,11.61828704,0.089107983,0,6.786631932,9574.928726,7316.115417,5.167329176,6.786631932,1.313373253,2.404508184
Dr3AC000457,R98,11.61912037,0,0,4.362834813,4624.000596,3468.318117,3.764621056,4.362834813,1.15890411,2.701818696
Dr2AD000361,R70,11.61996528,0,0,3.661480753,4378.759564,3346.151415,3.269547602,3.661480753,1.119873817,2.785243898
Dr7AE000899,R161,11.62081019,0,0,2.537251452,2196.82233,2587.28381,1.629616786,2.537251452,1.556962025,1.810305758
Dp1AA01026,A10,11.62165509,0,0,3.970901662,4556.200799,3428.92707,3.847133299,3.970901662,1.032171582,2.978716898
Dr1AA000203,R20,11.6225,0,0,4.270008541,4542.49562,2369.634663,3.135465209,4.270008541,1.361842105,2.25684986
Dr5AB000629,R128,11.62334491,0,0,2.176260391,3967.694933,3210.642584,2.691961906,2.176260391,0.808429119,3.463702165
Dr8AC000958,R187,11.62417824,0,0,3.919331511,5647.260179,4807.522938,4.125612117,3.919331511,0.95,3.167623781
Dp1AD000062,A10,11.62502315,0,0,2.929184603,3300.406974,2509.409345,3.352059845,2.929184603,0.873846154,3.314974713
Dr2AE000399,R70,11.62586806,0,0,3.403629996,5438.778073,5623.11728,4.517545268,3.403629996,0.753424658,3.596268792
Dr4AC000557,R102,11.62671296,0,0,3.362373875,4400.088818,3694.952779,2.980754754,3.362373875,1.128027682,2.767568569
Dr1AD000170,R20,11.62755787,0.073227047,0,6.064649811,9151.974171,6665.709335,4.888850358,6.064649811,1.240506329,2.560545474
Dr4AE000593,R102,11.62840278,0,0,1.959665755,2124.121343,2692.568635,1.877153513,1.959665755,1.043956044,2.932839258
Dp2AA000103,B100,11.62924769,0,0,2.248458604,2082.188939,3346.877517,1.980293816,2.248458604,1.135416667,2.732256624
Dr7AB000827,R161,11.63092593,0,0,2.774474148,3003.975734,3234.33167,2.300028755,2.774474148,1.206278027,2.584728194
Dp2AC000143,B100,11.63180556,0,0,3.063266997,3153.825084,3489.284319,2.506309361,3.063266997,1.222222222,2.551058327
Dp2AD000168,B100,11.63265046,0,0,3.145779239,4202.679771,3960.887725,2.557879512,3.145779239,1.22983871,2.543042082
Dr1AE000189,R20,11.63349537,0,0,5.878997266,6926.289277,5619.84982,4.630999601,5.878997266,1.269487751,2.478722069
Dp1AA01037,A10,11.63434028,0,0,4.651627661,5868.449074,3529.310705,3.826505238,4.651627661,1.215633423,2.587893511
Dr3AA000419,R98,11.63518519,0,0,5.848055175,6344.681382,3708.476433,4.579429449,5.848055175,1.277027027,2.457414805
Dr6AB000725,R133,11.63603009,0,0,1.247997665,635.6117492,668.1048245,0.422875242,1.247997665,2.951219512,-1.25505682
Dp2AC000141,B100,11.636875,0,0,2.4856813,2715.531618,3039.373218,2.547565482,2.4856813,0.975708502,3.087137195
Dr2AD000366,R70,11.63771991,0,0,4.166868238,4960.821273,3775.913179,3.383001936,4.166868238,1.231707317,2.545209836
Dr8AE000986,R187,11.63857639,0,0,2.021549937,2060.04282,2665.793615,2.052492028,2.021549937,0.984924623,3.06154887
Dp2AA01101,B100,11.6394213,0,0,2.11437621,2606.253231,3082.485539,2.733218027,2.11437621,0.773584906,3.528748065
Dr2AA000313,R70,11.64025463,0,0,3.589282541,4391.647879,4311.68587,3.661480753,3.589282541,0.98028169,3.090961973
Dr1AB000226,R20,11.64109954,0,0,1.619302756,1179.55309,1294.277245,1.237683635,1.619302756,1.308333333,2.346235319
Dr8AC000959,R187,11.64195602,0,0,4.043099874,4318.674604,4019.883532,2.805416239,4.043099874,1.441176471,2.081313914
Dr7AD000875,R161,11.64280093,0,0,1.949351725,1757.348949,2193.101056,1.505848423,1.949351725,1.294520548,2.381245824
Dr5AE000684,R128,11.64364583,0,0,2.413483088,2333.148026,2369.090087,1.40270812,2.413483088,1.720588235,1.453201227
Dp1AA000017,A10,11.64449074,0,0,1.629616786,2085.365636,2664.97675,2.661019815,1.629616786,0.612403101,3.877326317
Dr6AA000712,R133,11.64532407,0,0,4.847594237,5807.638012,3904.160987,4.104984056,4.847594237,1.180904523,2.663424131
Dp2AB000139,B100,11.6462037,0,0,2.609449664,3388.719159,3328.997249,3.486142239,2.609449664,0.74852071,3.59008112
Dr5AC000653,R128,11.64704861,0,0,3.455200148,3125.053282,2310.275805,2.12469024,3.455200148,1.626213592,1.666354877
Dr8AD000963,R187,11.64789352,0,0,1.588360665,1314.880396,1418.440728,1.443964241,1.588360665,1.1,2.803460592
Dr3AE000482,R98,11.64873843,0,0,3.836819268,4911.08327,4224.553601,3.981215692,3.836819268,0.96373057,3.131485779
Dp1AA000008,A10,11.64958333,0,0,4.228752419,5418.265685,3907.337684,4.166868238,4.228752419,1.014851485,3.023752769
Dr5AB000625,R128,11.65042824,0,0,2.691961906,3143.659652,3645.577826,2.980754754,2.691961906,0.903114187,3.24960365
Dr7AC000858,R161,11.65128472,0,0,3.692422844,4492.303802,4649.5957,3.609910602,3.692422844,1.022857143,2.998581682
Dp2AA000117,B100,11.65211806,0,0,2.382540997,2801.75626,3974.865193,2.300028755,2.382540997,1.035874439,2.956126589
Dr7AA000808,R161,11.65296296,0,0,3.135465209,3449.16717,4439.389101,2.83635833,3.135465209,1.105454545,2.809138161
Dr3AB000422,R98,11.65381944,0,0,5.909939357,5109.218419,2754.831902,3.083895057,5.909939357,1.91638796,1.047450659
Dr2AC000357,R70,11.65465278,0,0,3.939959571,5894.316467,4891.115458,3.960587632,3.939959571,0.994791667,3.071600079
Dr1AD000168,R20,11.65549769,0.132156907,0,7.611754355,10721.44416,7014.692225,5.806799054,7.611754355,1.310834813,2.419530538
Dr4AE000587,R102,11.65635417,0,0,2.784788179,2864.201052,3344.880736,1.835897392,2.784788179,1.516853933,1.903624614
Dp1AA01027,A10,11.65719907,0,0,4.61037154,5771.786714,3997.64665,4.383462874,4.61037154,1.051764706,2.945856402
Dr3AA000413,R98,11.65804398,0,0,5.909939357,6915.851557,4246.155142,3.692422844,5.909939357,1.600558659,1.753816115
Dr5AB000624,R128,11.65888889,0,0,3.702736875,4083.871292,4527.065947,2.764160118,3.702736875,1.339552239,2.301863376
Dr1AC000253,R20,11.6597338,0,0,2.681647876,2597.540004,1703.254332,2.176260391,2.681647876,1.232227488,2.524561276
Dr2AD000368,R70,11.6605787,0,0,4.125612117,4800.715729,3859.959513,3.18703536,4.125612117,1.294498382,2.406418444
Dr3AE000483,R98,11.66142361,0,0,4.507231237,5415.542802,3624.79315,3.970901662,4.507231237,1.135064935,2.760544717
Dp2AA01061,B100,11.66226852,0,0,2.929184603,3543.106648,4011.261068,2.712589967,2.929184603,1.079847909,2.865974758
Dr5AA000609,R128,11.66311343,0,0,1.392394089,819.3156162,1486.966627,0.464131363,1.392394089,3,-1.360336321
Dr3AB000428,R98,11.66395833,0.01212293,0,5.724286812,7524.597523,4019.248192,3.867761359,5.724286812,1.48,2.02278288
Dr7AC000859,R161,11.66480324,0,0,3.589282541,3802.143622,3041.73305,2.795102209,3.589282541,1.284132841,2.420868345
Dr1AD000171,R20,11.66564815,0,0,5.033246782,6482.186994,3867.220535,4.538173328,5.033246782,1.109090909,2.826215675
